"names","population","region"
"Athens",664046,"Attica"
"Thessaloniki",315196,"Central Macedonia"
"Patras",167446,"Western Greece"
"Piraeus",163688,"Attica"
"Larissa",144651,"Thessaly"
"Heraklion",140730,"Crete"
"Peristeri",139981,"Attica"
"Kallithea",100641,"Attica"
"Acharnes",99346,"Attica"
"Kalamaria",91279,"Central Macedonia"
"Nikaia",89380,"Attica"
"Glyfada",87305,"Attica"
"Volos",86046,"Thessaly"
"Ilio",84793,"Attica"
"Ilioupoli",78153,"Attica"
"Keratsini",77077,"Attica"
"Evosmos",74686,"Central Macedonia"
"Chalandri",74192,"Attica"
"Nea Smyrni",73076,"Attica"
"Marousi",72333,"Attica"
"Agios Dimitrios",71294,"Attica"
"Zografou",71026,"Attica"
"Egaleo",69946,"Attica"
"Nea Ionia",67134,"Attica"
"Ioannina",65574,"Epirus"
"Palaio Faliro",64021,"Attica"
"Korydallos",63445,"Attica"
"Trikala",61653,"Thessaly"
"Vyronas",61308,"Attica"
"Agia Paraskevi",59704,"Attica"
"Galatsi",59345,"Attica"
"Agrinio",59329,"Western Greece"
"Chalcis",59125,"Central Greece"
"Petroupoli",58979,"Attica"
"Serres",58287,"Central Macedonia"
"Alexandroupoli",57812,"Eastern Macedonia and Thrace"
"Xanthi",56122,"Eastern Macedonia and Thrace"
"Katerini",55997,"Central Macedonia"
"Kalamata",54100,"Peloponnese"
"Kavala",54027,"Eastern Macedonia and Thrace"
"Chania",53910,"Crete"
"Lamia",52006,"Central Greece"
"Komotini",50990,"Eastern Macedonia and Thrace"
"Irakleio",49642,"Attica"
"Rhodes",49541,"South Aegean"
"Kifissia",47332,"Attica"
"Stavroupoli",46008,"Central Macedonia"
"Chaidari",45642,"Attica"
"Drama",44823,"Eastern Macedonia and Thrace"
"Veria",43158,"Central Macedonia"
"Alimos",41720,"Attica"
"Kozani",41066,"Western Macedonia"
"Polichni",39332,"Central Macedonia"
"Karditsa",38554,"Thessaly"
"Sykies",37753,"Central Macedonia"
"Ampelokipoi",37381,"Central Macedonia"
"Pylaia",34625,"Central Macedonia"
"Agioi Anargyroi",34168,"Attica"
"Argyroupoli",34097,"Attica"
"Ano Liosia",33565,"Attica"
"Nea Ionia",32661,"Thessaly"
"Rethymno",32468,"Crete"
"Ptolemaida",32127,"Western Macedonia"
"Tripoli",30866,"Peloponnese"
"Cholargos",30840,"Attica"
"Vrilissia",30741,"Attica"
"Aspropyrgos",30251,"Attica"
"Corinth",30176,"Peloponnese"
"Gerakas",29939,"Attica"
"Metamorfosi",29891,"Attica"
"Giannitsa",29789,"Central Macedonia"
"Voula",28364,"Attica"
"Kamatero",28361,"Attica"
"Mytilene",27871,"North Aegean"
"Neapoli",27084,"Central Macedonia"
"Eleftherio-Kordelio",27067,"Central Macedonia"
"Chios",26850,"North Aegean"
"Agia Varvara",26550,"Attica"
"Kaisariani",26370,"Attica"
"Nea Filadelfeia",25734,"Attica"
"Moschato",25441,"Attica"
"Perama",25389,"Attica"
"Salamina",25370,"Attica"
"Eleusis",24910,"Attica"
"Corfu",24838,"Ionian Islands"
"Pyrgos",24359,"Western Greece"
"Megara",23456,"Attica"
"Kilkis",22914,"Central Macedonia"
"Dafni",22913,"Attica"
"Thebes",22883,"Central Greece"
"Melissia",22741,"Attica"
"Argos",22209,"Peloponnese"
"Arta",21895,"Epirus"
"Artemida",21488,"Attica"
"Livadeia",21379,"Central Greece"
"Pefki",21352,"Attica"
"Oraiokastro",20852,"Central Macedonia"
"Aigio",20422,"Western Greece"
"Kos",19432,"South Aegean"
"Koropi",19164,"Attica"
"Preveza",19042,"Epirus"
"Naousa",18882,"Central Macedonia"
"Orestiada",18426,"Eastern Macedonia and Thrace"
"Peraia",18326,"Central Macedonia"
"Edessa",18229,"Central Macedonia"
"Florina",17686,"Western Macedonia"
"Panorama",17444,"Central Macedonia"
"Nea Erythraia",17379,"Attica"
"Elliniko",17259,"Attica"
"Amaliada",16763,"Western Greece"
"Pallini",16415,"Attica"
"Sparta",16239,"Peloponnese"
"Agios Ioannis Rentis",16050,"Attica"
"Thermi",16004,"Central Macedonia"
"Vari",15855,"Attica"
"Nea Makri",15554,"Attica"
"Tavros",14972,"Attica"
"Alexandreia",14821,"Central Macedonia"
"Menemeni",14746,"Central Macedonia"
"Paiania",14595,"Attica"
"Kalyvia Thorikou",14424,"Attica"
"Nafplio",14203,"Peloponnese"
"Drapetsona",13968,"Attica"
"Efkarpia",13905,"Central Macedonia"
"Papagou",13699,"Attica"
"Nafpaktos",13415,"Western Greece"
"Kastoria",13387,"Western Macedonia"
"Grevena",13137,"Western Macedonia"
"Pefka",13052,"Central Macedonia"
"Nea Alikarnassos",12925,"Crete"
"Missolonghi",12785,"Western Greece"
"Gazi",12606,"Crete"
"Ierapetra",12355,"Crete"
"Kalymnos",12324,"South Aegean"
"Rafina",12168,"Attica"
"Loutraki",11564,"Peloponnese"
"Agios Nikolaos",11421,"Crete"
"Ermoupoli",11407,"South Aegean"
"Ialysos",11331,"South Aegean"
"Mandra",11327,"Attica"
"Tyrnavos",11069,"Thessaly"
"Glyka Nera",11049,"Attica"
"Ymittos",10715,"Attica"
"Neo Psychiko",10137,"Attica"
